Protein IDs,Majority protein IDs,Gene names,Protein names,Peptides,Sequence coverage [%],Mol. weight [kDa]
O15270,O15270,SPTLC2,Serine palmitoyltransferase 2,10,23.3,62.924
O15294,O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,16,20.4,116.92
O15305,O15305,PMM2,Phosphomannomutase 2,8,41.9,28.082
O15344,O15344,MID1,E3 ubiquitin-protein ligase Midline-1,11,21.7,75.25
O15347,O15347,HMGB3,High mobility group protein B3,6,28.5,22.98
O15355,O15355,PPM1G,Protein phosphatase 1G,14,38.8,59.271
O15357,O15357,INPPL1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",13,13.9,138.6
O15371,O15371,EIF3D,Eukaryotic translation initiation factor 3 subunit D,20,53.5,63.972
O15372,O15372,EIF3H,Eukaryotic translation initiation factor 3 subunit H,12,38.4,39.93
O15381,O15381,NVL,Nuclear valosin-containing protein-like,9,15.4,95.05
O15382,O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",10,28.3,44.287
O15394,O15394,NCAM2,Neural cell adhesion molecule 2,7,12.7,93.045
O15397,O15397,IPO8,Importin-8,7,8.5,119.94
O15400,O15400,STX7,Syntaxin-7,10,52.9,29.815
O15439,O15439,ABCC4,Multidrug resistance-associated protein 4,2,2.6,149.52
O15440,O15440,ABCC5,Multidrug resistance-associated protein 5,2,1.5,160.66
O15446,O15446,CD3EAP,DNA-directed RNA polymerase I subunit RPA34,6,24.3,54.985
O15455,O15455,TLR3,Toll-like receptor 3,2,2.8,103.83
O15460,O15460,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,2,4.5,60.901
O15484,O15484,CAPN5,Calpain-5,16,28.0,73.168
O15498,O15498,YKT6,Synaptobrevin homolog YKT6,4,19.2,22.417
O15504,O15504,NUPL2,Nucleoporin-like protein 2,2,4.5,44.871
O15511,O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,6,57.0,16.32
O15514,O15514,POLR2D,DNA-directed RNA polymerase II subunit RPB4,2,23.2,16.311
O15523,O15523,DDX3Y,ATP-dependent RNA helicase DDX3Y,20,32.7,73.153
O15525;O60675,O15525;O60675,MAFG;MAFK,Transcription factor MafG;Transcription factor MafK,2,12.3,17.849
O15530;Q6A1A2,O15530;Q6A1A2,PDPK1;PDPK2P,3-phosphoinositide-dependent protein kinase 1;Putative 3-phosphoinositide-dependent protein kinase 2,10,22.7,63.151
O15533,O15533,TAPBP,Tapasin,2,4.2,47.625
O15540,O15540,FABP7,"Fatty acid-binding protein, brain",10,78.8,14.889
O15541;Q8IZP6,O15541,RNF113A,RING finger protein 113A,5,20.4,38.787
O43143,O43143,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,27,36.7,90.932
O43148,O43148,RNMT,mRNA cap guanine-N7 methyltransferase,11,29.2,54.843
O43149,O43149,ZZEF1,Zinc finger ZZ-type and EF-hand domain-containing protein 1,7,2.9,331.07
O43150,O43150,ASAP2,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",11,15.0,111.65
O43156,O43156,TTI1,TELO2-interacting protein 1 homolog,3,3.5,122.07
O43157;Q9ULL4,O43157,PLXNB1,Plexin-B1,15,9.2,232.3
O43159,O43159,RRP8,Ribosomal RNA-processing protein 8,6,17.1,50.714
O43164,O43164,PJA2,E3 ubiquitin-protein ligase Praja-2,4,9.3,78.213
O43166,O43166,SIPA1L1,Signal-induced proliferation-associated 1-like protein 1,16,13.8,200.03
O43169,O43169,CYB5B,Cytochrome b5 type B,6,58.9,16.332
O43172,O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,16,33.5,58.449
O43175,O43175,PHGDH,D-3-phosphoglycerate dehydrogenase,23,49.7,56.65
O43181,O43181,NDUFS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",5,34.9,20.108
O43189,O43189,PHF1,PHD finger protein 1,3,6.7,62.105
O43237,O43237,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,15,39.6,54.099
O43242,O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3,23,48.5,60.977
O43251,O43251,RBFOX2,RNA binding protein fox-1 homolog 2,1,2.6,41.373
O43252;O95340,O43252,PAPSS1,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,11,23.1,70.832
O43264,O43264,ZW10,Centromere/kinetochore protein zw10 homolog,19,32.1,88.828
O43272,O43272,PRODH,"Proline dehydrogenase 1, mitochondrial",5,12.2,68.001
O43290,O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1,18,27.5,90.254
O43293,O43293,DAPK3,Death-associated protein kinase 3,4,10.1,52.535
O43295,O43295,SRGAP3,SLIT-ROBO Rho GTPase-activating protein 3,27,34.4,124.5
O43299,O43299,AP5Z1,AP-5 complex subunit zeta-1,3,4.3,88.604
O43301,O43301,HSPA12A,Heat shock 70 kDa protein 12A,11,23.4,74.977
O43303,O43303,CCP110,Centriolar coiled-coil protein of 110 kDa,3,3.6,113.42
O43310,O43310,CTIF,CBP80/20-dependent translation initiation factor,4,11.4,67.586
O43313,O43313,ATMIN,ATM interactor,1,2.3,88.347
O43314;Q6PFW1,O43314,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,11,12.8,140.41
O43318,O43318,MAP3K7,Mitogen-activated protein kinase kinase kinase 7,7,13.9,67.195
O43324,O43324,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,7,39.7,19.81
O43325,O43325,LYRM1,LYR motif-containing protein 1,2,17.2,14.281
O43347,O43347,MSI1,RNA-binding protein Musashi homolog 1,10,35.6,39.124
O43374;C9J798,O43374;C9J798,RASA4;RASA4B,Ras GTPase-activating protein 4;Putative Ras GTPase-activating protein 4B,5,8.1,90.457
O43390,O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,29,46.4,70.942
O43395,O43395,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3,12,23.6,77.528
O43396,O43396,TXNL1,Thioredoxin-like protein 1,16,69.6,32.251
O43399,O43399,TPD52L2,Tumor protein D54,13,78.6,22.237
O43402,O43402,EMC8,ER membrane protein complex subunit 8,5,31.0,23.773
O43414,O43414,ERI3,ERI1 exoribonuclease 3,5,17.2,37.238
O43426,O43426,SYNJ1,Synaptojanin-1,12,8.3,173.1
O43427,O43427,FIBP,Acidic fibroblast growth factor intracellular-binding protein,5,12.1,41.878
O43432;O43439,O43432,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,24,17.5,176.65
O43447,O43447,PPIH,Peptidyl-prolyl cis-trans isomerase H,8,55.4,19.208
O43464;P83110,O43464,HTRA2,"Serine protease HTRA2, mitochondrial",3,7.6,48.84
O43474,O43474,KLF4,Krueppel-like factor 4,2,6.2,54.67
O43488;Q8NHP1;O95154,O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,8,27.9,39.589
O43490,O43490,PROM1,Prominin-1,1,1.3,97.201
O43491,O43491,EPB41L2,Band 4.1-like protein 2,28,35.4,112.59
O43504,O43504,LAMTOR5,Ragulator complex protein LAMTOR5,6,96.7,9.6138
O43505,O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1",4,13.0,47.119
O43513,O43513,MED7,Mediator of RNA polymerase II transcription subunit 7,2,16.3,27.245
O43516,O43516,WIPF1,WAS/WASL-interacting protein family member 1,1,3.2,51.258
O43567,O43567,RNF13,E3 ubiquitin-protein ligase RNF13,5,16.3,42.813
O43572,O43572,AKAP10,"A-kinase anchor protein 10, mitochondrial",2,5.1,73.817
O43583,O43583,DENR,Density-regulated protein,8,49.5,22.092
O43592,O43592,XPOT,Exportin-T,13,15.3,109.96
O43598,O43598,DNPH1,2-deoxynucleoside 5-phosphate N-hydrolase 1,1,4.0,19.108
O43602,O43602,DCX,Neuronal migration protein doublecortin,20,55.3,40.573
O43615,O43615,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,17,39.8,51.355
O43617,O43617,TRAPPC3,Trafficking protein particle complex subunit 3,2,10.6,20.274
O43633,O43633,CHMP2A,Charged multivesicular body protein 2a,6,19.8,25.104
O43639,O43639,NCK2,Cytoplasmic protein NCK2,6,20.3,42.915
O43657,O43657,TSPAN6,Tetraspanin-6,3,13.9,27.563
O43660,O43660,PLRG1,Pleiotropic regulator 1,9,25.1,57.193
O43663,O43663,PRC1,Protein regulator of cytokinesis 1,2,5.0,71.606
O43665,O43665,RGS10,Regulator of G-protein signaling 10,3,22.0,20.236
O43670,O43670,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207,7,23.8,50.75
O43674,O43674,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",3,16.9,21.75
O43676,O43676,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,5,38.8,11.402
O43678,O43678,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,6,62.6,10.921
O43681,O43681,ASNA1,ATPase ASNA1,12,39.7,38.792
O43684,O43684,BUB3,Mitotic checkpoint protein BUB3,14,48.8,37.154
O43707;Q08043,O43707,ACTN4,Alpha-actinin-4,54,64.0,104.85
O43708,O43708,GSTZ1,Maleylacetoacetate isomerase,4,20.4,24.212
O43709,O43709,WBSCR22,Probable 18S rRNA (guanine-N(7))-methyltransferase,1,5.7,31.88
O43715,O43715,TRIAP1,TP53-regulated inhibitor of apoptosis 1,3,51.3,8.7858
O43716,O43716,GATC,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",2,19.9,15.086
O43719,O43719,HTATSF1,HIV Tat-specific factor 1,12,22.0,85.852
O43741,O43741,PRKAB2,5-AMP-activated protein kinase subunit beta-2,2,10.3,30.302
O43747,O43747,AP1G1,AP-1 complex subunit gamma-1,12,17.9,91.35
O43752,O43752,STX6,Syntaxin-6,3,14.1,29.176
O43765,O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,6,23.0,34.063
O43768,O43768,ENSA,Alpha-endosulfine,5,58.7,13.389
O43772,O43772,SLC25A20,Mitochondrial carnitine/acylcarnitine carrier protein,10,31.6,32.943
O43776,O43776,NARS,"Asparagine--tRNA ligase, cytoplasmic",26,44.0,62.942
O43795;Q9UBC5,O43795,MYO1B,Unconventional myosin-Ib,24,25.4,131.98
O43805,O43805,SSNA1,Sjoegren syndrome nuclear autoantigen 1,2,24.4,13.596
O43809,O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,4,21.1,26.227
O43813,O43813,LANCL1,LanC-like protein 1,7,16.0,45.283
O43815,O43815,STRN,Striatin,16,33.5,86.131
O43818,O43818,RRP9,U3 small nucleolar RNA-interacting protein 2,3,9.1,51.84
O43823,O43823,AKAP8,A-kinase anchor protein 8,5,13.3,76.107
O43824,O43824,GTPBP6,Putative GTP-binding protein 6,7,18.4,56.897
O43837,O43837,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",11,36.6,42.183
O43847,O43847,NRD1,Nardilysin,14,15.9,131.7
O43852,O43852,CALU,Calumenin,21,71.1,37.106
O43854,O43854,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,9,24.4,53.764
O43865,O43865,AHCYL1,Putative adenosylhomocysteinase 2,13,27.5,58.951
O43896,O43896,KIF1C,Kinesin-like protein KIF1C,5,6.0,122.95
O43909,O43909,EXTL3,Exostosin-like 3,3,3.4,104.75
O43913,O43913,ORC5,Origin recognition complex subunit 5,5,10.1,50.282
O43920,O43920,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,5,40.6,12.517
O43924,O43924,PDE6D,"Retinal rod rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase subunit delta",2,16.0,17.42
O43933,O43933,PEX1,Peroxisome biogenesis factor 1,7,6.2,142.87
O60216;Q9H4I0,O60216,RAD21,Double-strand-break repair protein rad21 homolog,15,29.3,71.689
O60218,O60218,AKR1B10,Aldo-keto reductase family 1 member B10,5,18.4,36.019
O60220,O60220,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,5,42.3,10.998
O60229,O60229,KALRN,Kalirin,8,2.9,340.17
O60231,O60231,DHX16,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,8,10.0,119.26
O60232,O60232,SSSCA1,Sjoegren syndrome/scleroderma autoantigen 1,4,27.6,21.474
O60237,O60237,PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,3,4.1,110.4
O60238;Q12983,O60238;Q12983,BNIP3L;BNIP3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like;BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,2,11.4,23.93
O60244,O60244,MED14,Mediator of RNA polymerase II transcription subunit 14,7,5.2,160.6
O60245,O60245,PCDH7,Protocadherin-7,1,1.5,116.07
O60256,O60256,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,12,43.6,40.925
O60262,O60262,GNG7,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7,4,60.3,7.5217
O60264,O60264,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,41,41.7,121.9
O60268,O60268,KIAA0513,Uncharacterized protein KIAA0513,5,13.6,46.638
O60271,O60271,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,19,21.4,146.2
O60282,O60282,KIF5C,Kinesin heavy chain isoform 5C,54,61.8,109.49
O60287,O60287,URB1,Nucleolar pre-ribosomal-associated protein 1,7,3.6,254.39
O60291,O60291,MGRN1,E3 ubiquitin-protein ligase MGRN1,2,7.2,60.752
O60293,O60293,ZFC3H1,Zinc finger C3H1 domain-containing protein,3,1.9,226.35
O60306,O60306,AQR,Intron-binding protein aquarius,9,8.1,171.29
O60313,O60313,OPA1,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",38,45.5,111.63
O60315,O60315,ZEB2,Zinc finger E-box-binding homeobox 2,8,8.5,136.45
O60318,O60318,MCM3AP,Germinal-center associated nuclear protein,5,4.2,218.4
O60331,O60331,PIP5K1C,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,3,5.1,73.259
O60333,O60333,KIF1B,Kinesin-like protein KIF1B,10,9.3,204.47
O60337,O60337,MARCH6,E3 ubiquitin-protein ligase MARCH6,2,2.7,102.54
O60341,O60341,KDM1A,Lysine-specific histone demethylase 1A,22,39.8,92.902
O60343,O60343,TBC1D4,TBC1 domain family member 4,2,2.2,146.56
O60427,O60427,FADS1,Fatty acid desaturase 1,9,25.5,51.964
O60443,O60443,DFNA5,Non-syndromic hearing impairment protein 5,11,27.8,54.554
O60447,O60447,EVI5,Ecotropic viral integration site 5 protein homolog,4,4.8,92.948
O60449,O60449,LY75,Lymphocyte antigen 75,2,0.9,198.31
O60462,O60462,NRP2,Neuropilin-2,3,5.0,104.83
Q8N9L1;Q15915;O60481;O95409;Q96T25,Q8N9L1;Q15915;O60481;O95409;Q96T25,ZIC4;ZIC1;ZIC3;ZIC2;ZIC5,Zinc finger protein ZIC 4;Zinc finger protein ZIC 1;Zinc finger protein ZIC 3;Zinc finger protein ZIC 2;Zinc finger protein ZIC 5,1,3.3,36.566
O60488,O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,14,27.1,79.187
O60493,O60493,SNX3,Sorting nexin-3,8,50.6,18.762
O60499,O60499,STX10,Syntaxin-10,1,6.0,28.114
O60502,O60502,MGEA5,Protein O-GlcNAcase,23,33.4,102.91
O60504,O60504,SORBS3,Vinexin,2,2.7,75.34
O60506,O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,27,44.9,69.602
O60507,O60507,TPST1,Protein-tyrosine sulfotransferase 1,3,10.8,42.188
O60508,O60508,CDC40,Pre-mRNA-processing factor 17,9,20.4,65.521
O60513,O60513,B4GALT4,"Beta-1,4-galactosyltransferase 4;N-acetyllactosamine synthase;Lactotriaosylceramide beta-1,4-galactosyltransferase",2,8.4,40.041
O60518,O60518,RANBP6,Ran-binding protein 6,15,15.8,124.71
O60524,O60524,NEMF,Nuclear export mediator factor NEMF,6,7.6,122.95
O60547,O60547,GMDS,"GDP-mannose 4,6 dehydratase",5,15.9,41.949
O60551,O60551,NMT2,Glycylpeptide N-tetradecanoyltransferase 2,7,19.1,56.98
O60565,O60565,GREM1,Gremlin-1,1,6.5,20.697
O60568,O60568,PLOD3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",10,17.6,84.784
O60573,O60573,EIF4E2,Eukaryotic translation initiation factor 4E type 2,4,22.4,28.362
O60610,O60610,DIAPH1,Protein diaphanous homolog 1,12,12.6,141.35
O60613,O60613,SEP15,15 kDa selenoprotein,4,32.1,18.092
O60641,O60641,SNAP91,Clathrin coat assembly protein AP180,10,13.6,92.501
O60645,O60645,EXOC3,Exocyst complex component 3,13,23.0,86.844
O60664,O60664,PLIN3,Perilipin-3,18,56.9,47.074
O60674,O60674,JAK2,Tyrosine-protein kinase JAK2,3,2.7,130.67
O60678,O60678,PRMT3,Protein arginine N-methyltransferase 3,10,23.4,59.902
O60684,O60684,KPNA6,Importin subunit alpha-7,17,34.3,60.029
O60687,O60687,SRPX2,Sushi repeat-containing protein SRPX2,3,8.6,52.971
O60701,O60701,UGDH,UDP-glucose 6-dehydrogenase,23,56.5,55.023
O60704,O60704,TPST2,Protein-tyrosine sulfotransferase 2,3,9.5,41.911
O60716,O60716,CTNND1,Catenin delta-1,30,41.1,108.17
O60739,O60739,EIF1B,Eukaryotic translation initiation factor 1b,5,64.6,12.823
O60749,O60749,SNX2,Sorting nexin-2,19,40.3,58.47
O60762,O60762,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,8,36.9,29.634
O60763,O60763,USO1,General vesicular transport factor p115,34,44.3,107.89
O60783,O60783,MRPS14,"28S ribosomal protein S14, mitochondrial",2,20.3,15.139
O60784,O60784,TOM1,Target of Myb protein 1,3,12.8,53.818
Q99877;Q93079;P62807;P58876;O60814;Q99879;Q5QNW6;P57053;Q99880;Q96A08;A0A2R8Y619,Q99877;Q93079;P62807;P58876;O60814;Q99879;Q5QNW6;P57053;Q99880,HIST1H2BN;HIST1H2BH;HIST1H2BC;HIST1H2BD;HIST1H2BK;HIST1H2BM;HIST2H2BF;H2BFS;HIST1H2BL,Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-M;Histone H2B type 2-F;Histone H2B type F-S;Histone H2B type 1-L,11,61.9,13.922
O60825;Q16875;P16118,O60825,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase",7,16.2,58.476
O60826,O60826,CCDC22,Coiled-coil domain-containing protein 22,9,18.8,70.755
O60828,O60828,PQBP1,Polyglutamine-binding protein 1,4,22.6,30.472
O60830;Q99595,O60830,TIMM17B,Mitochondrial import inner membrane translocase subunit Tim17-B,4,40.7,18.273
O60831,O60831,PRAF2,PRA1 family protein 2,4,25.8,19.258
O60832,O60832,DKC1,H/ACA ribonucleoprotein complex subunit 4,14,33.3,57.673
O60841,O60841,EIF5B,Eukaryotic translation initiation factor 5B,24,25.2,138.83
O60858,O60858,TRIM13,E3 ubiquitin-protein ligase TRIM13,5,15.0,46.987
O60861,O60861,GAS7,Growth arrest-specific protein 7,5,12.6,54.371
O60869,O60869,EDF1,Endothelial differentiation-related factor 1,7,31.1,16.368
O60870,O60870,KIN,DNA/RNA-binding protein KIN17,4,13.5,45.373
O60879,O60879,DIAPH2,Protein diaphanous homolog 2,4,3.6,125.57
O60884,O60884,DNAJA2,DnaJ homolog subfamily A member 2,11,30.6,45.745
O60885,O60885,BRD4,Bromodomain-containing protein 4,12,11.9,152.22
O60888,O60888,CUTA,Protein CutA,5,34.1,19.116
O60890,O60890,OPHN1,Oligophrenin-1,2,4.7,91.64
O60921,O60921,HUS1,Checkpoint protein HUS1,5,18.6,31.691
O60925,O60925,PFDN1,Prefoldin subunit 1,6,38.5,14.21
O60927,O60927,PPP1R11,Protein phosphatase 1 regulatory subunit 11,1,19.8,13.952
O60934,O60934,NBN,Nibrin,6,11.5,84.958
O60936,O60936,NOL3,Nucleolar protein 3,3,29.3,22.629
O60942,O60942,RNGTT,mRNA-capping enzyme;Polynucleotide 5-triphosphatase;mRNA guanylyltransferase,6,13.1,68.556
O75027,O75027,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial",7,10.0,82.64
O75037,O75037,KIF21B,Kinesin-like protein KIF21B,14,11.5,182.66
O75044;P0DMP2;P0DJJ0,O75044;P0DMP2;P0DJJ0,SRGAP2;SRGAP2B;SRGAP2C,SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2B;SLIT-ROBO Rho GTPase-activating protein 2C,12,14.5,120.87
O75051,O75051,PLXNA2,Plexin-A2,12,6.4,211.1
O75052,O75052,NOS1AP,Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein,5,9.9,56.149
O75054,O75054,IGSF3,Immunoglobulin superfamily member 3,7,7.5,135.19
O75056,O75056,SDC3,Syndecan-3,1,5.7,45.496
O75061,O75061,DNAJC6,Putative tyrosine-protein phosphatase auxilin,3,4.4,99.995
O75063,O75063,FAM20B,Glycosaminoglycan xylosylkinase,2,4.6,46.432
O75071,O75071,EFCAB14,EF-hand calcium-binding domain-containing protein 14,1,3.4,55.031
O75083,O75083,WDR1,WD repeat-containing protein 1,25,60.6,66.193
O75093,O75093,SLIT1,Slit homolog 1 protein,26,24.6,167.92
O75110,O75110,ATP9A,Probable phospholipid-transporting ATPase IIA,10,13.3,118.58
O75116,O75116,ROCK2,Rho-associated protein kinase 2,24,21.0,160.9
O75122,O75122,CLASP2,CLIP-associating protein 2,27,26.4,141.06
O75127,O75127,PTCD1,"Pentatricopeptide repeat-containing protein 1, mitochondrial",5,6.9,78.855
O75131,O75131,CPNE3,Copine-3,14,29.8,60.13
O75140,O75140,DEPDC5,DEP domain-containing protein 5,2,2.1,181.26
O75145,O75145,PPFIA3,Liprin-alpha-3,2,1.9,133.49
O75146,O75146,HIP1R,Huntingtin-interacting protein 1-related protein,4,4.4,119.39
O75147,O75147,OBSL1,Obscurin-like protein 1,4,3.1,206.94
O75150,O75150,RNF40,E3 ubiquitin-protein ligase BRE1B,13,15.8,113.68
O75151,O75151,PHF2,Lysine-specific demethylase PHF2,6,7.9,120.77
O75152,O75152,ZC3H11A,Zinc finger CCCH domain-containing protein 11A,14,24.0,89.13
O75153;Q9Y5I4,O75153,CLUH,Clustered mitochondria protein homolog,14,14.6,146.67
O75155,O75155,CAND2,Cullin-associated NEDD8-dissociated protein 2,8,8.7,135.25
O75164,O75164,KDM4A,Lysine-specific demethylase 4A,3,3.6,120.66
O75165,O75165,DNAJC13,DnaJ homolog subfamily C member 13,23,12.8,254.41
O75170,O75170,PPP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,10,13.5,104.94
O75175,O75175,CNOT3,CCR4-NOT transcription complex subunit 3,7,15.7,81.871
O75179,O75179,ANKRD17,Ankyrin repeat domain-containing protein 17,19,10.0,274.25
O75182,O75182,SIN3B,Paired amphipathic helix protein Sin3b,6,5.7,133.06
O75190;Q8WWF6,O75190,DNAJB6,DnaJ homolog subfamily B member 6,3,12.6,36.087
O75208,O75208,COQ9,"Ubiquinone biosynthesis protein COQ9, mitochondrial",3,13.5,35.509
O75223,O75223,GGCT,Gamma-glutamylcyclotransferase,6,37.8,21.007
O75251,O75251,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",4,15.5,23.563
O75306,O75306,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",10,29.6,52.545
O75312,O75312,ZPR1,Zinc finger protein ZPR1,13,38.3,50.925
O75323,O75323,GBAS,Protein NipSnap homolog 2,8,29.0,33.742
O75324,O75324,SNN,Stannin,2,25.0,9.497
O75330,O75330,HMMR,Hyaluronan mediated motility receptor,3,4.6,84.099
O75340,O75340,PDCD6,Programmed cell death protein 6,8,50.3,21.868
O75347,O75347,TBCA,Tubulin-specific chaperone A,9,58.3,12.855
O75348,O75348,ATP6V1G1,V-type proton ATPase subunit G 1,5,33.9,13.757
O75351,O75351,VPS4B,Vacuolar protein sorting-associated protein 4B,8,21.4,49.301
O75352,O75352,MPDU1,Mannose-P-dolichol utilization defect 1 protein,4,13.8,26.638
O75356,O75356,ENTPD5,Ectonucleoside triphosphate diphosphohydrolase 5,4,14.3,47.517
O75362,O75362,ZNF217,Zinc finger protein 217,6,10.8,115.27
O75367,O75367,H2AFY,Core histone macro-H2A.1,22,54.8,39.617
O75368,O75368,SH3BGRL,SH3 domain-binding glutamic acid-rich-like protein,3,37.7,12.774
O75369,O75369,FLNB,Filamin-B,123,64.7,278.16
O75380,O75380,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",4,45.2,13.711
O75381,O75381,PEX14,Peroxisomal membrane protein PEX14,9,47.5,41.236
O75382,O75382,TRIM3,Tripartite motif-containing protein 3,8,13.3,80.829
O75390,O75390,CS,"Citrate synthase, mitochondrial",19,40.3,51.712
O75391,O75391,SPAG7,Sperm-associated antigen 7,4,25.6,26.034
O75394,O75394,MRPL33,"39S ribosomal protein L33, mitochondrial",2,38.5,7.6191
O75396,O75396,SEC22B,Vesicle-trafficking protein SEC22b,8,47.4,24.593
O75400,O75400,PRPF40A,Pre-mRNA-processing factor 40 homolog A,19,22.7,108.8
O75410,O75410,TACC1,Transforming acidic coiled-coil-containing protein 1,10,20.6,87.793
O75427,O75427,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4,5,14.1,73.449
O75431,O75431,MTX2,Metaxin-2,6,34.6,29.763
O75436,O75436,VPS26A,Vacuolar protein sorting-associated protein 26A,10,37.0,38.169
O75438,O75438,NDUFB1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,1,20.7,6.9611
O75439,O75439,PMPCB,Mitochondrial-processing peptidase subunit beta,15,35.6,54.366
O75446,O75446,SAP30,Histone deacetylase complex subunit SAP30,1,5.0,23.306
O75449,O75449,KATNA1,Katanin p60 ATPase-containing subunit A1,4,7.5,55.964
