Protein_IDs,Gene_names,Protein_names
O75462,CRLF1,Cytokine receptor-like factor 1
O75475,PSIP1,PC4 and SFRS1-interacting protein
O75477,ERLIN1,Erlin-1
O75487,GPC4,Glypican-4;Secreted glypican-4
O75489,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"
O75494;Q8WXF0,SRSF10,Serine/arginine-rich splicing factor 10
O75503,CLN5,Ceroid-lipofuscinosis neuronal protein 5
O75506,HSBP1,Heat shock factor-binding protein 1
O75521,ECI2,"Enoyl-CoA delta isomerase 2, mitochondrial"
O75525,KHDRBS3,"KH domain-containing, RNA-binding, signal transduction-associated protein 3"
O75528,TADA3,Transcriptional adapter 3
O75529,TAF5L,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L
O75530,EED,Polycomb protein EED
O75531,BANF1,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed"
O75533,SF3B1,Splicing factor 3B subunit 1
O75534,CSDE1,Cold shock domain-containing protein E1
O75554,WBP4,WW domain-binding protein 4
O75569,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A
O75592,MYCBP2,E3 ubiquitin-protein ligase MYCBP2
O75600,GCAT,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"
O75608,LYPLA1,Acyl-protein thioesterase 1
O75616,ERAL1,"GTPase Era, mitochondrial"
O75643,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase
O75663,TIPRL,TIP41-like protein
O75674,TOM1L1,TOM1-like protein 1
O75683,SURF6,Surfeit locus protein 6
O75688,PPM1B,Protein phosphatase 1B
O75691,UTP20,Small subunit processome component 20 homolog
O75694,NUP155,Nuclear pore complex protein Nup155
O75695,RP2,Protein XRP2
O75717,WDHD1,WD repeat and HMG-box DNA-binding protein 1
O75718,CRTAP,Cartilage-associated protein
O75746,SLC25A12,Calcium-binding mitochondrial carrier protein Aralar1
O75781,PALM,Paralemmin-1
O75787;A0A1C7CYW4,ATP6AP2,Renin receptor
O75792,RNASEH2A,Ribonuclease H2 subunit A
O75794,CDC123,Cell division cycle protein 123 homolog
O75818,RPP40,Ribonuclease P protein subunit p40
O75821,EIF3G,Eukaryotic translation initiation factor 3 subunit G
O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J
O75828,CBR3,Carbonyl reductase [NADPH] 3
O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10
O75844,ZMPSTE24,CAAX prenyl protease 1 homolog
O75845,SC5D,Lathosterol oxidase
O75864,PPP1R37,Protein phosphatase 1 regulatory subunit 37
O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic
O75880,SCO1,"Protein SCO1 homolog, mitochondrial"
O75882,ATRN,Attractin
O75884,RBBP9,Putative hydrolase RBBP9
O75886,STAM2,Signal transducing adapter molecule 2
O75891,ALDH1L1,Cytosolic 10-formyltetrahydrofolate dehydrogenase
O75914,PAK3,Serine/threonine-protein kinase PAK 3
O75915,ARL6IP5,PRA1 family protein 3
O75934,BCAS2,Pre-mRNA-splicing factor SPF27
O75935,DCTN3,Dynactin subunit 3
O75937,DNAJC8,DnaJ homolog subfamily C member 8
O75940,SMNDC1,Survival of motor neuron-related-splicing factor 30
O75947,ATP5H,"ATP synthase subunit d, mitochondrial"
O75953,DNAJB5,DnaJ homolog subfamily B member 5
O75955,FLOT1,Flotillin-1
O75962,TRIO,Triple functional domain protein
O75964,ATP5L,"ATP synthase subunit g, mitochondrial"
O75970;Q8NI35,MPDZ,Multiple PDZ domain protein
O75976,CPD,Carboxypeptidase D
O76003,GLRX3,Glutaredoxin-3
O76021,RSL1D1,Ribosomal L1 domain-containing protein 1
O76024,WFS1,Wolframin
O76031,CLPX,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial"
O76038,SCGN,Secretagogin
O76041,NEBL,Nebulette
O76054;Q9UDX4,SEC14L2,SEC14-like protein 2
O76070,SNCG,Gamma-synuclein
O76071,CIAO1,Probable cytosolic iron-sulfur protein assembly protein CIAO1
O76094,SRP72,Signal recognition particle subunit SRP72
O94760,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
O94763,URI1,Unconventional prefoldin RPB5 interactor 1
O94772,LY6H,Lymphocyte antigen 6H
O94776,MTA2,Metastasis-associated protein MTA2
O94811,TPPP,Tubulin polymerization-promoting protein
O94812,BAIAP3,BAI1-associated protein 3
O94817,ATG12,Ubiquitin-like protein ATG12
O94819,KBTBD11,Kelch repeat and BTB domain-containing protein 11
O94822,LTN1,E3 ubiquitin-protein ligase listerin
O94826,TOMM70A,Mitochondrial import receptor subunit TOM70
O94842;O15405;Q96NM4;O94900,TOX4,TOX high mobility group box family member 4
O94855,SEC24D,Protein transport protein Sec24D
O94856,NFASC,Neurofascin
O94874,UFL1,E3 UFM1-protein ligase 1
O94875,SORBS2,Sorbin and SH3 domain-containing protein 2
O94876,TMCC1,Transmembrane and coiled-coil domains protein 1
O94880,PHF14,PHD finger protein 14
O94888,UBXN7,UBX domain-containing protein 7
O94901,SUN1,SUN domain-containing protein 1
O94903,PROSC,Proline synthase co-transcribed bacterial homolog protein
O94905,ERLIN2,Erlin-2
O94906,PRPF6,Pre-mRNA-processing factor 6
O94911;Q8IUA7;Q8WWZ4,ABCA8,ATP-binding cassette sub-family A member 8
O94915,FRYL,Protein furry homolog-like
O94919,ENDOD1,Endonuclease domain-containing 1 protein
O94925,GLS,"Glutaminase kidney isoform, mitochondrial"
O94927,HAUS5,HAUS augmin-like complex subunit 5
O94964,SOGA1,Protein SOGA1;N-terminal form;C-terminal 80 kDa form
O94966,USP19,Ubiquitin carboxyl-terminal hydrolase 19
O94967,WDR47,WD repeat-containing protein 47
O94973,AP2A2,AP-2 complex subunit alpha-2
O94979,SEC31A,Protein transport protein Sec31A
O94992,HEXIM1,Protein HEXIM1
O95071,UBR5,E3 ubiquitin-protein ligase UBR5
O95084,PRSS23,Serine protease 23
O95104,SCAF4,"Splicing factor, arginine/serine-rich 15"
O95139;Q7Z6M2,NDUFB6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
O95140,MFN2,Mitofusin-2
O95155,UBE4B,Ubiquitin conjugation factor E4 B
O95163,IKBKAP,Elongator complex protein 1
O95168,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4
O95169,NDUFB8,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"
O95182,NDUFA7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
O95196,CSPG5,Chondroitin sulfate proteoglycan 5
O95197,RTN3,Reticulon-3
O95202,LETM1,"LETM1 and EF-hand domain-containing protein 1, mitochondrial"
O95208,EPN2,Epsin-2
O95218,ZRANB2,Zinc finger Ran-binding domain-containing protein 2
O95219,SNX4,Sorting nexin-4
O95232,LUC7L3,Luc7-like protein 3
O95239;Q2VIQ3,KIF4A;KIF4B,Chromosome-associated kinesin KIF4A;Chromosome-associated kinesin KIF4B
O95248,SBF1,Myotubularin-related protein 5
O95249,GOSR1,Golgi SNAP receptor complex member 1
O95251,KAT7,Histone acetyltransferase KAT7
O95260,ATE1,Arginyl-tRNA--protein transferase 1
O95292,VAPB,Vesicle-associated membrane protein-associated protein B/C
O95295,SNAPIN,SNARE-associated protein Snapin
O95297,MPZL1,Myelin protein zero-like protein 1
O95298,NDUFC2,NADH dehydrogenase [ubiquinone] 1 subunit C2
O95299,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"
O95302;Q75LS8,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9
O95319,CELF2,CUGBP Elav-like family member 2
O95336,PGLS,6-phosphogluconolactonase
O95347,SMC2,Structural maintenance of chromosomes protein 2
O95352,ATG7,Ubiquitin-like modifier-activating enzyme ATG7
O95359,TACC2,Transforming acidic coiled-coil-containing protein 2
O95361;Q309B1,TRIM16,Tripartite motif-containing protein 16
O95372,LYPLA2,Acyl-protein thioesterase 2
O95373,IPO7,Importin-7
O95376,ARIH2,E3 ubiquitin-protein ligase ARIH2
O95391,SLU7,Pre-mRNA-splicing factor SLU7
O95394,PGM3,Phosphoacetylglucosamine mutase
O95396,MOCS3,Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase
O95400,CD2BP2,CD2 antigen cytoplasmic tail-binding protein 2
O95425,SVIL,Supervillin
O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1
O95453,PARN,Poly(A)-specific ribonuclease PARN
O95456,PSMG1,Proteasome assembly chaperone 1
O95470,SGPL1,Sphingosine-1-phosphate lyase 1
O95478,NSA2,Ribosome biogenesis protein NSA2 homolog
O95479,H6PD,GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase
O95486,SEC24A,Protein transport protein Sec24A
O95487,SEC24B,Protein transport protein Sec24B
O95490,LPHN2,Latrophilin-2
O95551,TDP2,Tyrosyl-DNA phosphodiesterase 2
O95563,MPC2,Mitochondrial pyruvate carrier 2
O95571,ETHE1,"Persulfide dioxygenase ETHE1, mitochondrial"
O95573,ACSL3,Long-chain-fatty-acid--CoA ligase 3
O95602,POLR1A,DNA-directed RNA polymerase I subunit RPA1
O95619,YEATS4,YEATS domain-containing protein 4
O95625,ZBTB11,Zinc finger and BTB domain-containing protein 11
O95628,CNOT4,CCR4-NOT transcription complex subunit 4
O95630,STAMBP,STAM-binding protein
O95631,NTN1,Netrin-1
O95639;A6NMK7,CPSF4,Cleavage and polyadenylation specificity factor subunit 4
O95670,ATP6V1G2,V-type proton ATPase subunit G 2
O95671,ASMTL,N-acetylserotonin O-methyltransferase-like protein
O95674,CDS2,Phosphatidate cytidylyltransferase 2
O95696,BRD1,Bromodomain-containing protein 1
O95707,POP4,Ribonuclease P protein subunit p29
O95714;Q9BVR0,HERC2,E3 ubiquitin-protein ligase HERC2
O95716,RAB3D,Ras-related protein Rab-3D
O95721,SNAP29,Synaptosomal-associated protein 29
O95747,OXSR1,Serine/threonine-protein kinase OSR1
O95749,GGPS1,Geranylgeranyl pyrophosphate synthase
O95757,HSPA4L,Heat shock 70 kDa protein 4L
O95758,PTBP3,Polypyrimidine tract-binding protein 3
O95777,LSM8,U6 snRNA-associated Sm-like protein LSm8
O95782,AP2A1,AP-2 complex subunit alpha-1
O95785,WIZ,Protein Wiz
O95786,DDX58,Probable ATP-dependent RNA helicase DDX58
O95793,STAU1,Double-stranded RNA-binding protein Staufen homolog 1
O95801,TTC4,Tetratricopeptide repeat protein 4
O95816,BAG2,BAG family molecular chaperone regulator 2
O95817,BAG3,BAG family molecular chaperone regulator 3
O95819,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4
O95825,CRYZL1,Quinone oxidoreductase-like protein 1
O95831,AIFM1,"Apoptosis-inducing factor 1, mitochondrial"
O95834,EML2,Echinoderm microtubule-associated protein-like 2
O95861,BPNT1,"3(2),5-bisphosphate nucleotidase 1"
O95864,FADS2,Fatty acid desaturase 2
O95865,DDAH2,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2"
O95870,ABHD16A,Abhydrolase domain-containing protein 16A
O95881,TXNDC12,Thioredoxin domain-containing protein 12
O95905,ECD,Protein SGT1
O95983,MBD3,Methyl-CpG-binding domain protein 3
O95985;Q13472,TOP3B,DNA topoisomerase 3-beta-1
O95999,BCL10,B-cell lymphoma/leukemia 10
O96000,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10
O96005,CLPTM1,Cleft lip and palate transmembrane protein 1
O96008,TOMM40,Mitochondrial import receptor subunit TOM40 homolog
O96013;Q9P286,PAK4,Serine/threonine-protein kinase PAK 4
O96019,ACTL6A,Actin-like protein 6A
O96028,WHSC1,Histone-lysine N-methyltransferase NSD2
P00167,CYB5A,Cytochrome b5
P00338;Q6ZMR3;P07864,LDHA,L-lactate dehydrogenase A chain
P00352,ALDH1A1,Retinal dehydrogenase 1
P00367,GLUD1,"Glutamate dehydrogenase 1, mitochondrial"
P00374;Q86XF0,DHFR,Dihydrofolate reductase
P00387,CYB5R3,NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form
P00390,GSR,"Glutathione reductase, mitochondrial"
P00403,MT-CO2,Cytochrome c oxidase subunit 2
P00441,SOD1,Superoxide dismutase [Cu-Zn]
P00488,F13A1,Coagulation factor XIII A chain
P00491,PNP,Purine nucleoside phosphorylase
P00492,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase
P00505,GOT2,"Aspartate aminotransferase, mitochondrial"
P00519,ABL1,Tyrosine-protein kinase ABL1
P00558,PGK1,Phosphoglycerate kinase 1
P00568;Q9Y6K8,AK1,Adenylate kinase isoenzyme 1
P00813,ADA,Adenosine deaminase
P00918,CA2,Carbonic anhydrase 2
P00966,ASS1,Argininosuccinate synthase
P01111,NRAS,GTPase NRas
P01112,HRAS,"GTPase HRas;GTPase HRas, N-terminally processed"
P01308;F8WCM5,INS;INS-IGF2,"Insulin;Insulin B chain;Insulin A chain;Insulin, isoform 2"
P01891,HLA-A,"HLA class I histocompatibility antigen, A-68 alpha chain"
P02511,CRYAB,Alpha-crystallin B chain
P02545,LMNA,Prelamin-A/C;Lamin-A/C
P02679,FGG,Fibrinogen gamma chain
P02689;P15090,PMP2;FABP4,"Myelin P2 protein;Fatty acid-binding protein, adipocyte"
P02751,FN1,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3
P02786,TFRC,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form"
P02790,HPX,Hemopexin
P02792,FTL,Ferritin light chain
P02794,FTH1,"Ferritin heavy chain;Ferritin heavy chain, N-terminally processed"
P03928,MT-ATP8,ATP synthase protein 8
P04035,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase
P04040,CAT,Catalase
P04049,RAF1,RAF proto-oncogene serine/threonine-protein kinase
P04062,GBA,Glucosylceramidase
P04066,FUCA1,Tissue alpha-L-fucosidase
P04075,ALDOA,Fructose-bisphosphate aldolase A
P04080,CSTB,Cystatin-B
P04083,ANXA1,Annexin A1
P04179,SOD2,"Superoxide dismutase [Mn], mitochondrial"
P04181,OAT,"Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form"
P04216,THY1,Thy-1 membrane glycoprotein
P04271,S100B,Protein S100-B
P04350,TUBB4A,Tubulin beta-4A chain
P04406;O14556,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase
P04424,ASL,Argininosuccinate lyase
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2
P04632;Q96L46,CAPNS1,Calpain small subunit 1
P04792,HSPB1,Heat shock protein beta-1
P04818,TYMS,Thymidylate synthase
P04843,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
P04844,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
P04899;P11488;P19087;A8MTJ3,GNAI2,Guanine nucleotide-binding protein G(i) subunit alpha-2
Q99878;Q96KK5;Q9BTM1;Q16777;Q93077;Q7L7L0;Q6FI13;P20671;P0C0S8;P04908;P16104,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST3H2A;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AB;H2AFX,Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1;Histone H2A type 1-B/E;Histone H2AX
P04920;P48751,SLC4A2,Anion exchange protein 2
P05023,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1
P05067,APP,Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31
P05091,ALDH2,"Aldehyde dehydrogenase, mitochondrial"
P05106,ITGB3,Integrin beta-3
P05129,PRKCG,Protein kinase C gamma type
P05141;Q9H0C2,SLC25A5,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed"
P05161,ISG15,Ubiquitin-like protein ISG15
P05165,PCCA,"Propionyl-CoA carboxylase alpha chain, mitochondrial"
P05166,PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial"
P05186,ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme"
P05198,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1
P05362,ICAM1,Intercellular adhesion molecule 1
P05386,RPLP1,60S acidic ribosomal protein P1
P05387,RPLP2,60S acidic ribosomal protein P2
P05388;Q8NHW5,RPLP0;RPLP0P6,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like
P05413,FABP3,"Fatty acid-binding protein, heart"
P05423,POLR3D,DNA-directed RNA polymerase III subunit RPC4
P05455,SSB,Lupus La protein
P05556,ITGB1,Integrin beta-1
P05771,PRKCB,Protein kinase C beta type
P05937;P22676,CALB1,Calbindin
P06132,UROD,Uroporphyrinogen decarboxylase
P06276,BCHE,Cholinesterase
P06280,GLA,Alpha-galactosidase A
P06454,PTMA,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1"
P06493;Q00526,CDK1,Cyclin-dependent kinase 1
P06576,ATP5B,"ATP synthase subunit beta, mitochondrial"
P06730;A6NMX2,EIF4E,Eukaryotic translation initiation factor 4E
P06733,ENO1,Alpha-enolase
P06737,PYGL,"Glycogen phosphorylase, liver form"
P06744,GPI,Glucose-6-phosphate isomerase
P06746,POLB,DNA polymerase beta
P06748,NPM1,Nucleophosmin
P06753,TPM3,Tropomyosin alpha-3 chain
P06756,ITGAV,Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain
P06865,HEXA,Beta-hexosaminidase subunit alpha
P07093,SERPINE2,Glia-derived nexin
P07099,EPHX1,Epoxide hydrolase 1
P07101,TH,Tyrosine 3-monooxygenase
P07108,DBI,Acyl-CoA-binding protein
P07195,LDHB,L-lactate dehydrogenase B chain
P07196,NEFL,Neurofilament light polypeptide
P07197,NEFM,Neurofilament medium polypeptide
P07203,GPX1,Glutathione peroxidase 1
P07225,PROS1,Vitamin K-dependent protein S
P07237,P4HB,Protein disulfide-isomerase
P07305,H1F0,"Histone H1.0;Histone H1.0, N-terminally processed"
P07339,CTSD,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain
P07355;A6NMY6,ANXA2;ANXA2P2,Annexin A2;Putative annexin A2-like protein
P07384,CAPN1,Calpain-1 catalytic subunit
P07437;A6NNZ2,TUBB,Tubulin beta chain
P07585,DCN,Decorin
P07602,PSAP,Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D
P07686,HEXB,Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A
P07711;Q5NE16;P43235;O60911,CTSL,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain
P07738,BPGM,Bisphosphoglycerate mutase
P07741,APRT,Adenine phosphoribosyltransferase
P07814,EPRS,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase
P07858,CTSB,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain
P07900;Q14568;Q58FG0,HSP90AA1,Heat shock protein HSP 90-alpha
P07910;A0A0G2JPF8;A0A0G2JNQ3;P0DMR1;O60812;B7ZW38;B2RXH8,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2
P07919,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial"
P07942,LAMB1,Laminin subunit beta-1
P07947;P08631,YES1,Tyrosine-protein kinase Yes
P07954,FH,"Fumarate hydratase, mitochondrial"
P08069;P06213,IGF1R,Insulin-like growth factor 1 receptor;Insulin-like growth factor 1 receptor alpha chain;Insulin-like growth factor 1 receptor beta chain
P08133,ANXA6,Annexin A6
P08134,RHOC,Rho-related GTP-binding protein RhoC
P08174,CD55,Complement decay-accelerating factor
P08195,SLC3A2,4F2 cell-surface antigen heavy chain
P08236,GUSB,Beta-glucuronidase
P08237,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type"
P08238;Q58FF7,HSP90AB1,Heat shock protein HSP 90-beta
P08240,SRPR,Signal recognition particle receptor subunit alpha
P08243,ASNS,Asparagine synthetase [glutamine-hydrolyzing]
P08397,HMBS,Porphobilinogen deaminase
P08559;P29803,PDHA1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"
P08572,COL4A2,Collagen alpha-2(IV) chain;Canstatin
P08574,CYC1,"Cytochrome c1, heme protein, mitochondrial"
P08579,SNRPB2,U2 small nuclear ribonucleoprotein B
P08621,SNRNP70,U1 small nuclear ribonucleoprotein 70 kDa
P08648,ITGA5,Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain
P08708,RPS17,40S ribosomal protein S17
P08754,GNAI3,Guanine nucleotide-binding protein G(k) subunit alpha
P08758,ANXA5,Annexin A5
P08865,RPSA,40S ribosomal protein SA
P08962,CD63,CD63 antigen
P09001,MRPL3,"39S ribosomal protein L3, mitochondrial"
P09012,SNRPA,U1 small nuclear ribonucleoprotein A
P09038,FGF2,Fibroblast growth factor 2
P09104,ENO2,Gamma-enolase
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal"
P09132,SRP19,Signal recognition particle 19 kDa protein
P09211,GSTP1,Glutathione S-transferase P
P09234,SNRPC,U1 small nuclear ribonucleoprotein C
P09382,LGALS1,Galectin-1
P09417,QDPR,Dihydropteridine reductase
P09429;B2RPK0;P23497,HMGB1;HMGB1P1,High mobility group protein B1;Putative high mobility group protein B1-like 1
P09455,RBP1,Retinol-binding protein 1
P09471,GNAO1,Guanine nucleotide-binding protein G(o) subunit alpha
P09486,SPARC,SPARC
P09493,TPM1,Tropomyosin alpha-1 chain
P09496,CLTA,Clathrin light chain A
P09497,CLTB,Clathrin light chain B
P09525,ANXA4,Annexin A4
P09543,CNP,"2,3-cyclic-nucleotide 3-phosphodiesterase"
P09601,HMOX1,Heme oxygenase 1
P09622,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial"
P09651;Q32P51;A0A2R8Y4L2,HNRNPA1;HNRNPA1L2,"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2"
P09661,SNRPA1,U2 small nuclear ribonucleoprotein A
P09668,CTSH,Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain
P09669,COX6C,Cytochrome c oxidase subunit 6C
P09683,SCT,Secretin
P09874,PARP1,Poly [ADP-ribose] polymerase 1
P09936,UCHL1,Ubiquitin carboxyl-terminal hydrolase isozyme L1
